"","FIPS","state_code","county_name","county_population","Square.Miles","Total.Households","Average.Household.Size","X..Living.Alone","X..Bachelors.Degree","X..Graduate.Degree","X..Broadband","Median.Household.Income","Mean.Minutes.To.Work","Gini.Index","X..Unemployment.Rate","Median.Age","WIN2016","PCDEM2016","PCGOP2016","PCOBESITY","All.Establishments","All.Employees","All.Payroll","party","TOTCNG","TOTRATE","Dim.1.x","Dim.2.x","polyname.x","class2.x","Dim.1.y","Dim.2.y","polyname.y","class2.y"
"1",1001,"AL","Autauga County",4.74508260256365,594,21115,2.59,25.1,15.9,11.8,78.9,58786,25.8,0.4602,2.5,37.8,"Trump",24,73.4,30.9,851,10790,332497,"GOP",106,676.878888888889,-0.289026545306929,-1.19553855446146,"alabama,autauga",1,-0.289026545306929,-1.19553855446146,"alabama,autauga",1
"2",1003,"AL","Baldwin County",5.33850031927675,1590,78622,2.61,30.4,20.7,10.6,78.1,55962,27.4,0.4609,2.6,42.8,"Trump",19.6,77.4,26.7,5235,61341,1960156,"GOP",271,531.74,-1.36735598471909,-0.963699885330134,"alabama,baldwin",1,-1.36735598471909,-0.963699885330134,"alabama,baldwin",1
"3",1005,"AL","Barbour County",4.39586783123399,885,9186,2.49,32.5,7.8,4.4,60.4,34186,22.7,0.4731,4.4,39.9,"Trump",46.7,52.3,40.8,452,6857,233441,"GOP",89,549.99,1.39767020423102,2.90414285218027,"alabama,barbour",9,1.39767020423102,2.90414285218027,"alabama,barbour",9
"4",1007,"AL","Bibb County",4.35024801833416,622,6840,2.99,26,7.6,3.9,66.1,45340,29.2,0.4294,3.6,39.9,"Trump",21.4,77,40.1,290,3387,135112,"GOP",81,498.8,1.69062290293023,1.23635591487912,"alabama,bibb",9,1.69062290293023,1.23635591487912,"alabama,bibb",9
"5",1009,"AL","Blount County",4.76222828428647,645,20600,2.77,24.7,8.1,4.5,68.5,48695,35.1,0.4331,2,40.8,"Trump",8.5,89.9,32.4,675,6286,198694,"GOP",156,651.62,1.30933929702566,0.0450011001578863,"alabama,blount",6,1.30933929702566,0.0450011001578863,"alabama,blount",6
"6",1011,"AL","Bullock County",4.00595228688738,623,3609,2.75,29.6,7.4,5.9,58.9,32152,28.6,0.5174,5.8,39.6,"Clinton",75.1,24.2,44.5,107,2097,65441,"DEM",47,577.24,0.720100949618588,4.24498220783537,"alabama,bullock",8,0.720100949618588,4.24498220783537,"alabama,bullock",8
"7",1013,"AL","Butler County",4.29402509409532,777,6708,2.94,30.5,9.7,6.4,62.1,39109,24,0.4708,3.6,40.7,"Trump",42.8,56.3,36,409,6157,194680,"GOP",92,586.148888888889,0.934939528589246,1.89290651214506,"alabama,butler",8,0.934939528589246,1.89290651214506,"alabama,butler",8
"8",1015,"AL","Calhoun County",5.05795883076087,606,45033,2.49,26.8,10.2,7.8,73,45197,25,0.4676,5,39.7,"Trump",27.9,69.2,32,2326,35843,1187813,"GOP",281,713.62,-0.126149358374956,1.08212960951543,"alabama,calhoun",7,-0.126149358374956,1.08212960951543,"alabama,calhoun",7
"9",1017,"AL","Chambers County",4.52653311559074,597,13516,2.46,31.6,9.3,3.9,66.5,39872,23.6,0.4568,2.8,43,"Trump",41.8,56.6,39.8,547,6276,208289,"GOP",119,650.33,1.27274171451142,1.75397689747521,"alabama,chambers",9,1.27274171451142,1.75397689747521,"alabama,chambers",9
"10",1019,"AL","Cherokee County",4.41550753559278,554,10606,2.41,28.3,6.8,6.1,68.6,41014,28.1,0.4539,2.7,45.9,"Trump",14.5,83.9,32.7,361,3905,123540,"GOP",79,479.24,1.80136623400921,0.607197506245918,"alabama,cherokee",9,1.80136623400921,0.607197506245918,"alabama,cherokee",9
