"","week","county_fips","mean_diff","mode_grade_diff","mean_grade_diff","mean_visit","mode_grade_visit","mean_grade_visit","mean_encounters","mode_grade_encounters","mean_grade_encounters"
"1",9,1001,0.0368432057082719,"F",1,-0.0132688146623668,"F",1,0.596608052122334,"F",1
"2",9,1003,0.0194769130573416,"F",1,-0.0138401279235547,"F",1,2.26750669335421,"F",1
"3",9,1005,0.036723143994653,"F",1,0.0158429362390155,"F",1,-0.771205822802138,"C",3
"4",9,1007,0.0465757100877377,"F",1,0.00129809667207842,"F",1,-0.688420464185054,"D",2.28571428571429
"5",9,1009,0.0209374866969339,"F",1,0.000483606360193473,"F",1,-0.0791467330738038,"F",1
"6",9,1011,0.0553158862133952,"F",1,NA,"",NA,-0.95705516504981,"A",4.85714285714286
"7",9,1013,0.0728227952779008,"F",1,0.0927016331501944,"F",1,-0.767630613078836,"D",2.85714285714286
"8",9,1015,0.0395479806737294,"F",1,0.00246634118190778,"F",1,3.3251563877562,"F",1
"9",9,1017,0.0577941338441336,"F",1,0.00583826079871531,"F",1,-0.443144529223798,"D",1.57142857142857
"10",9,1019,0.0431009737047211,"F",1,-0.0075750123707243,"F",1,-0.656756007985597,"D",2
"11",9,1021,0.0558796267868753,"F",1,0.0303700205345291,"F",1,0.0235191440797752,"F",1
"12",9,1023,0.033714947545191,"F",1,-0.0206921420193904,"F",1,-0.914007913148955,"B",4.14285714285714
"13",9,1025,0.0389556681796732,"F",1,0.0772164738776992,"F",1,-0.807842473445234,"C",3.28571428571429
"14",9,1027,0.0392035123409147,"F",1,0.0145379119504676,"F",1,-0.907755930404765,"B",4.28571428571429
"15",9,1029,0.0119736657534854,"F",1,0.00821579099952218,"F",1,-0.840984900347849,"B",3.57142857142857
"16",9,1031,0.039509913077628,"F",1,-0.00966113226410371,"F",1,0.520542036849223,"F",1
"17",9,1033,0.0433385095478887,"F",1,-0.0150254789676185,"F",1,1.2113281335364,"F",1
"18",9,1035,0.0798990074356135,"F",1,0.0492722220438092,"F",1,-0.939347973053742,"A",4.57142857142857
"19",9,1037,0.0563895676617371,"F",1,NA,"",NA,-0.9797173306675,"A",5
"20",9,1039,0.0384598222542283,"F",1,0.00317194098151485,"F",1,-0.438986421420642,"D",1.71428571428571
"21",9,1041,0.0321438064186901,"F",1,0.0130193575129568,"F",1,-0.823661886275486,"C",3.42857142857143
"22",9,1043,0.0514568202330727,"F",1,0.00530748881842399,"F",1,1.84585956917331,"F",1
"23",9,1045,0.063286111779213,"F",1,0.00777287838276022,"F",1,-0.149522505827725,"F",1.28571428571429
"24",9,1047,0.140691558484444,"F",1,0.15935727336157,"F",1,-0.6193955602399,"D",2.28571428571429
"25",9,1049,0.0297806773975434,"F",1,0.0088094533208329,"F",1,-0.189842837710016,"F",1
"26",9,1051,0.0381976739809581,"F",1,-0.0192689402815846,"F",1,2.03191698389719,"F",1
"27",9,1053,0.0777561600855276,"F",1,0.00880383864620016,"F",1,-0.566482584129827,"D",1.71428571428571
"28",9,1055,0.0324429409038062,"F",1,0.00900091402543641,"F",1,2.72438836401011,"F",1
"29",9,1057,0.00306108106803222,"F",1,-0.03271802491619,"F",1,-0.738283078910388,"D",2.42857142857143
"30",9,1059,0.0421647184357467,"F",1,-0.035635296561653,"F",1,-0.500583767436294,"D",2
"31",9,1061,0.0272584750393849,"F",1,-0.0200803723523271,"F",1,-0.699201693019774,"D",2.14285714285714
"32",9,1063,0.0849018221865752,"F",1,NA,"",NA,-0.951920416695297,"A",4.85714285714286
"33",9,1065,0.00621980542576066,"F",1,NA,"",NA,-0.884900238853943,"B",4
"34",9,1067,0.0406519588764066,"F",1,NA,"",NA,-0.827491528605639,"C",3.42857142857143
"35",9,1069,0.0481071575570363,"F",1,0.027234025336523,"F",1,5.1665065995327,"F",1
"36",9,1071,0.0429280558007646,"F",1,0.00301371340835189,"F",1,-0.572209074059119,"D",2
"37",9,1073,0.0301141908223457,"F",1,-0.00427523120836172,"F",1,23.1057707599106,"F",1
"38",9,1075,0.0342634858932902,"F",1,-0.0241382749148375,"F",1,-0.780515070374577,"C",2.85714285714286
"39",9,1077,0.0400413110328199,"F",1,-0.00741323439664273,"F",1,3.19432804801064,"F",1
"40",9,1079,0.0263461529630242,"F",1,-0.0590229093804717,"F",1,-0.652287189058445,"D",2.14285714285714
"41",9,1081,0.0421127474211005,"F",1,0.0626027087522806,"F",1,11.1434400773139,"F",1
"42",9,1083,0.0315504815326907,"F",1,-7.25704163159437e-05,"F",1,1.5180167955069,"F",1
"43",9,1085,0.0604664785471148,"F",1,NA,"",NA,-0.940523423421202,"B",4.42857142857143
"44",9,1087,0.0715789200919886,"F",1,0.0707941156175469,"F",1,-0.825643655301467,"B",3.71428571428571
"45",9,1089,0.0204710858574566,"F",1,-0.0184319404885644,"F",1,10.2161790001681,"F",1
"46",9,1091,0.0589707165596621,"F",1,0.0392390052041107,"F",1,-0.787337763154756,"C",3.14285714285714
"47",9,1093,0.0453644079221222,"F",1,0.0201856389568829,"F",1,-0.297163458067199,"F",1.14285714285714
"48",9,1095,0.0291214104865107,"F",1,0.0036374240424082,"F",1,2.08749497651939,"F",1
"49",9,1097,0.052296541429251,"F",1,0.0276728122898659,"F",1,5.88278552683879,"F",1
"50",9,1099,0.0121002818960689,"F",1,-0.00172793413885926,"F",1,-0.885536566472078,"B",4
"51",9,1101,0.0399399144912313,"F",1,-0.00949373302873522,"F",1,4.50248652432462,"F",1
"52",9,1103,0.0095546359754098,"F",1,-0.009332408073814,"F",1,2.8735956773933,"F",1
"53",9,1105,0.06914795566338,"F",1,NA,"",NA,-0.964734837210352,"A",5
"54",9,1107,0.0143512594512334,"F",1,NA,"",NA,-0.896659988177045,"B",4.28571428571429
"55",9,1109,0.0562416367439099,"F",1,0.0681070067841782,"F",1,0.573329031625061,"F",1
"56",9,1111,0.0104392453607527,"F",1,0.0219650353264029,"F",1,-0.670183160310545,"D",2.14285714285714
"57",9,1113,0.0460739869315803,"F",1,0.0359574074577522,"F",1,0.327106877088721,"F",1
"58",9,1115,0.0354744221550814,"F",1,-0.00876489227540297,"F",1,2.22073659414802,"F",1
"59",9,1117,0.0231480055474991,"F",1,-0.0214935354095489,"F",1,7.91752696262427,"F",1
"60",9,1119,0.0696776247984955,"F",1,-0.0572443349739397,"F",1,-0.878297898120166,"B",4.14285714285714
"61",9,1121,0.0582539707543086,"F",1,0.0174574881424104,"F",1,0.343306055302076,"F",1
"62",9,1123,0.0536128330320974,"F",1,0.0213027603798942,"F",1,-0.4669419015274,"D",1.85714285714286
"63",9,1125,0.0548818747940886,"F",1,0.0131620050239916,"F",1,6.11614697307238,"F",1
"64",9,1127,0.0412896756868124,"F",1,0.00508320022247891,"F",1,0.922852984924286,"F",1
